reporting_period,fiscal_year,fiscal_quarter,fiscal_month,entity,legal_entity_code,currency,row_type,gl_account,gl_account_name,cost_center,department,region,product_line,customer_segment,category,subcategory,vendor_name,invoice_id,revenue,cogs,opex,amount,budget_revenue,budget_opex,budget_amount,variance_amount,headcount_allocated,fte_count,transaction_count,active_customers,arr_millions,net_revenue_retention_pct,logo_churn_pct,gross_margin_pct,ebitda,cash_collections,deferred_revenue,americas_pct,emea_pct,apac_pct,source_system,last_updated,preparer,notes
2023-03-01,2023,2023-Q1,3,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6500-48,Legal & Compliance,CC-DAT-AP,Data Platform,APAC,,,Legal & Compliance,Legal & Compliance - Data Platform,Intercom,AP-202303-101048,0,0,,802.32,,,821.92,-19.60,17.44,,21,,,,,,,,,,,,NetSuite,2023-03-28,accounting@novastack.io,Vendor: Intercom
2023-03-01,2023,2023-Q1,3,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6510-79,Accounting & Audit,CC-SAL-La,Sales,LatAm,,,Accounting & Audit,Accounting & Audit - Sales,Rippling,AP-202303-101049,0,0,,62.75,,,64.28,-1.53,1.36,,40,,,,,,,,,,,,NetSuite,2023-03-28,accounting@novastack.io,Vendor: Rippling
2023-03-01,2023,2023-Q1,3,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6510-35,Accounting & Audit,CC-SEC-La,Security,LatAm,,,Accounting & Audit,Accounting & Audit - Security,Okta,AP-202303-101050,0,0,,2221.52,,,2275.79,-54.27,48.29,,20,,,,,,,,,,,,NetSuite,2023-03-28,accounting@novastack.io,Vendor: Okta
2023-03-01,2023,2023-Q1,3,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6510-26,Accounting & Audit,CC-PRO-Am,Product,Americas,,,Accounting & Audit,Accounting & Audit - Product,Okta,AP-202303-101051,0,0,,4190.78,,,4293.17,-102.39,91.1,,34,,,,,,,,,,,,NetSuite,2023-03-28,accounting@novastack.io,Vendor: Okta
2023-03-01,2023,2023-Q1,3,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6520-79,Insurance,CC-LEG-EM,Legal,EMEA,,,Insurance,Insurance - Legal,,AP-202303-101052,0,0,,330.41,,,338.49,-8.08,7.18,,38,,,,,,,,,,,,NetSuite,2023-03-28,accounting@novastack.io,
2023-03-01,2023,2023-Q1,3,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6520-64,Insurance,CC-CUS-EM,Customer Success,EMEA,,,Insurance,Insurance - Customer Success,Atlassian,AP-202303-101053,0,0,,108.02,,,110.66,-2.64,2.35,,33,,,,,,,,,,,,NetSuite,2023-03-28,accounting@novastack.io,Vendor: Atlassian
2023-03-01,2023,2023-Q1,3,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6520-90,Insurance,CC-PRO-Am,Product,Americas,,,Insurance,Insurance - Product,Zoom,AP-202303-101054,0,0,,642.13,,,657.81,-15.68,13.96,,33,,,,,,,,,,,,NetSuite,2023-03-28,accounting@novastack.io,Vendor: Zoom
2023-03-01,2023,2023-Q1,3,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6520-93,Insurance,CC-G&A-Am,G&A,Americas,,,Insurance,Insurance - G&A,,AP-202303-101055,0,0,,606.69,,,621.51,-14.82,13.19,,8,,,,,,,,,,,,NetSuite,2023-03-28,accounting@novastack.io,
2023-03-01,2023,2023-Q1,3,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6600-95,Office & Facilities,CC-MAR-EM,Marketing,EMEA,,,Office & Facilities,Office & Facilities - Marketing,Atlassian,AP-202303-101056,0,0,,125.21,,,128.27,-3.06,2.72,,37,,,,,,,,,,,,NetSuite,2023-03-28,accounting@novastack.io,Vendor: Atlassian
2023-03-01,2023,2023-Q1,3,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6600-41,Office & Facilities,CC-LEG-EM,Legal,EMEA,,,Office & Facilities,Office & Facilities - Legal,Twilio,AP-202303-101057,0,0,,309.65,,,317.21,-7.56,6.73,,7,,,,,,,,,,,,NetSuite,2023-03-28,accounting@novastack.io,Vendor: Twilio
2023-03-01,2023,2023-Q1,3,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6600-68,Office & Facilities,CC-G&A-EM,G&A,EMEA,,,Office & Facilities,Office & Facilities - G&A,Snowflake,AP-202303-101058,0,0,,190.42,,,195.08,-4.66,4.14,,7,,,,,,,,,,,,NetSuite,2023-03-28,accounting@novastack.io,Vendor: Snowflake
2023-03-01,2023,2023-Q1,3,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6610-26,Travel,CC-PRO-Am,Product,Americas,,,Travel,Travel - Product,,AP-202303-101059,0,0,,3628.00,,,3716.63,-88.63,78.87,,31,,,,,,,,,,,,NetSuite,2023-03-28,accounting@novastack.io,
2023-03-01,2023,2023-Q1,3,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6610-96,Travel,CC-MAR-La,Marketing,LatAm,,,Travel,Travel - Marketing,,AP-202303-101060,0,0,,4223.44,,,4326.62,-103.18,91.81,,34,,,,,,,,,,,,NetSuite,2023-03-28,accounting@novastack.io,
2023-03-01,2023,2023-Q1,3,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6615-98,Meals & Entertainment,CC-CUS-La,Customer Success,LatAm,,,Meals & Entertainment,Meals & Entertainment - Customer Success,Deloitte,AP-202303-101061,0,0,,811.86,,,831.69,-19.83,17.65,,32,,,,,,,,,,,,NetSuite,2023-03-28,accounting@novastack.io,Vendor: Deloitte
2023-03-01,2023,2023-Q1,3,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6615-74,Meals & Entertainment,CC-OPE-La,Operations,LatAm,,,Meals & Entertainment,Meals & Entertainment - Operations,LinkedIn,AP-202303-101062,0,0,,716.22,,,733.72,-17.50,15.57,,9,,,,,,,,,,,,NetSuite,2023-03-28,accounting@novastack.io,Vendor: LinkedIn
2023-03-01,2023,2023-Q1,3,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6615-75,Meals & Entertainment,CC-PEO-La,People Ops,LatAm,,,Meals & Entertainment,Meals & Entertainment - People Ops,,AP-202303-101063,0,0,,544.86,,,558.17,-13.31,11.84,,34,,,,,,,,,,,,NetSuite,2023-03-28,accounting@novastack.io,
2023-03-01,2023,2023-Q1,3,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6620-25,Recruiting,CC-ENG-EM,Engineering,EMEA,,,Recruiting,Recruiting - Engineering,Snowflake,AP-202303-101064,0,0,,3251.07,,,3330.50,-79.43,70.68,,39,,,,,,,,,,,,NetSuite,2023-03-28,accounting@novastack.io,Vendor: Snowflake
2023-03-01,2023,2023-Q1,3,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6620-83,Recruiting,CC-FIN-Am,Finance,Americas,,,Recruiting,Recruiting - Finance,,AP-202303-101065,0,0,,2132.05,,,2184.13,-52.08,46.35,,19,,,,,,,,,,,,NetSuite,2023-03-28,accounting@novastack.io,
2023-03-01,2023,2023-Q1,3,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6625-72,Training,CC-CUS-AP,Customer Success,APAC,,,Training,Training - Customer Success,,AP-202303-101066,0,0,,2830.27,,,2899.41,-69.14,61.53,,2,,,,,,,,,,,,NetSuite,2023-03-28,accounting@novastack.io,
2023-03-01,2023,2023-Q1,3,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6625-16,Training,CC-SAL-EM,Sales,EMEA,,,Training,Training - Sales,CrowdStrike,AP-202303-101067,0,0,,637.45,,,653.02,-15.57,13.86,,20,,,,,,,,,,,,NetSuite,2023-03-28,accounting@novastack.io,Vendor: CrowdStrike
2023-03-01,2023,2023-Q1,3,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6700-15,Depreciation,CC-PRO-AP,Product,APAC,,,Depreciation,Depreciation - Product,,AP-202303-101068,0,0,,20.26,,,20.76,-0.50,0.44,,27,,,,,,,,,,,,NetSuite,2023-03-28,accounting@novastack.io,
2023-03-01,2023,2023-Q1,3,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6700-58,Depreciation,CC-PEO-AP,People Ops,APAC,,,Depreciation,Depreciation - People Ops,Datadog,AP-202303-101069,0,0,,77.00,,,78.88,-1.88,1.67,,31,,,,,,,,,,,,NetSuite,2023-03-28,accounting@novastack.io,Vendor: Datadog
2023-03-01,2023,2023-Q1,3,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6700-91,Depreciation,CC-OPE-EM,Operations,EMEA,,,Depreciation,Depreciation - Operations,Twilio,AP-202303-101070,0,0,,45.95,,,47.07,-1.12,1.0,,30,,,,,,,,,,,,NetSuite,2023-03-28,accounting@novastack.io,Vendor: Twilio
2023-03-01,2023,2023-Q1,3,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6710-53,Amortization,CC-PRO-La,Product,LatAm,,,Amortization,Amortization - Product,Okta,AP-202303-101071,0,0,,1364.21,,,1397.54,-33.33,29.66,,35,,,,,,,,,,,,NetSuite,2023-03-28,accounting@novastack.io,Vendor: Okta
2023-03-01,2023,2023-Q1,3,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6710-31,Amortization,CC-ENG-La,Engineering,LatAm,,,Amortization,Amortization - Engineering,Salesforce,AP-202303-101072,0,0,,304.61,,,312.05,-7.44,6.62,,2,,,,,,,,,,,,NetSuite,2023-03-28,accounting@novastack.io,Vendor: Salesforce
2023-03-01,2023,2023-Q1,3,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6710-92,Amortization,CC-SEC-AP,Security,APAC,,,Amortization,Amortization - Security,HubSpot,AP-202303-101073,0,0,,1488.21,,,1524.56,-36.35,32.35,,36,,,,,,,,,,,,NetSuite,2023-03-28,accounting@novastack.io,Vendor: HubSpot
2023-03-01,2023,2023-Q1,3,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6800-34,Bank Fees,CC-SEC-Am,Security,Americas,,,Bank Fees,Bank Fees - Security,Twilio,AP-202303-101074,0,0,,25.23,,,25.85,-0.62,0.55,,31,,,,,,,,,,,,NetSuite,2023-03-28,accounting@novastack.io,Vendor: Twilio
2023-03-01,2023,2023-Q1,3,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6800-78,Bank Fees,CC-DAT-Am,Data Platform,Americas,,,Bank Fees,Bank Fees - Data Platform,,AP-202303-101075,0,0,,81.12,,,83.11,-1.99,1.76,,12,,,,,,,,,,,,NetSuite,2023-03-28,accounting@novastack.io,
2023-03-01,2023,2023-Q1,3,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6810-78,Bad Debt,CC-OPE-La,Operations,LatAm,,,Bad Debt,Bad Debt - Operations,,AP-202303-101076,0,0,,2998.23,,,3071.48,-73.25,65.18,,39,,,,,,,,,,,,NetSuite,2023-03-28,accounting@novastack.io,
2023-03-01,2023,2023-Q1,3,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6810-12,Bad Debt,CC-G&A-La,G&A,LatAm,,,Bad Debt,Bad Debt - G&A,Stripe,AP-202303-101077,0,0,,2244.13,,,2298.95,-54.82,48.79,,22,,,,,,,,,,,,NetSuite,2023-03-28,accounting@novastack.io,Vendor: Stripe
2023-03-01,2023,2023-Q1,3,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6999-22,Miscellaneous,CC-FIN-AP,Finance,APAC,,,Miscellaneous,Miscellaneous - Finance,,AP-202303-101078,0,0,,906.52,,,928.66,-22.14,19.71,,35,,,,,,,,,,,,NetSuite,2023-03-28,accounting@novastack.io,
2023-03-01,2023,2023-Q1,3,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6999-42,Miscellaneous,CC-SAL-AP,Sales,APAC,,,Miscellaneous,Miscellaneous - Sales,,AP-202303-101079,0,0,,120.81,,,123.77,-2.96,2.63,,6,,,,,,,,,,,,NetSuite,2023-03-28,accounting@novastack.io,
2023-03-01,2023,2023-Q1,3,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6999-17,Miscellaneous,CC-SAL-AP,Sales,APAC,,,Miscellaneous,Miscellaneous - Sales,Gusto,AP-202303-101080,0,0,,2651.14,,,2715.90,-64.76,57.63,,40,,,,,,,,,,,,NetSuite,2023-03-28,accounting@novastack.io,Vendor: Gusto
2023-03-01,2023,2023-Q1,3,NovaStack Analytics Inc.,NS-CONSOL,USD,KPI_SNAPSHOT,STAT-001,Monthly KPIs,CC-EXEC,Consolidated,Global,All,All,,,,,0,0,0,,130531.26,85728.96,,,,46,,141,1.51,103.8,2.31,75.44,11011.77,127637.17,48486.24,64.9,21.5,13.6,Looker,2023-03-28,bi@novastack.io,Consolidated KPI row — not included in GL roll-up
2023-04-01,2023,2023-Q2,4,NovaStack Analytics Inc.,NS-US-01,USD,REVENUE_DETAIL,4000,Subscription Revenue,CC-SAL-AP,Sales,APAC,Platform Core,Strategic,,Platform Core,,REV-202304-101081,5378.42,14079.62,,,5686.86,,,-308.44,,,151,,,,,,,,,,,,NetSuite,2023-04-28,fp&a@novastack.io,
2023-04-01,2023,2023-Q2,4,NovaStack Analytics Inc.,NS-US-01,USD,REVENUE_DETAIL,4000,Subscription Revenue,CC-CUS-La,Customer Success,LatAm,Analytics Pro,SMB,,Analytics Pro,,REV-202304-101082,7759.57,812.03,,,8204.56,,,-444.99,,,153,,,,,,,,,,,,NetSuite,2023-04-28,fp&a@novastack.io,
2023-04-01,2023,2023-Q2,4,NovaStack Analytics Inc.,NS-US-01,USD,REVENUE_DETAIL,4000,Subscription Revenue,CC-SAL-La,Sales,LatAm,Insights Add-on,Strategic,,Insights Add-on,,REV-202304-101083,48640.69,3750.74,,,51430.11,,,-2789.42,,,444,,,,,,,,,,,,NetSuite,2023-04-28,fp&a@novastack.io,
2023-04-01,2023,2023-Q2,4,NovaStack Analytics Inc.,NS-US-01,USD,REVENUE_DETAIL,4000,Subscription Revenue,CC-SAL-AP,Sales,APAC,API Usage,Mid-Market,,API Usage,,REV-202304-101084,14049.21,9344.73,,,14854.90,,,-805.69,,,403,,,,,,,,,,,,NetSuite,2023-04-28,fp&a@novastack.io,
2023-04-01,2023,2023-Q2,4,NovaStack Analytics Inc.,NS-US-01,USD,REVENUE_DETAIL,4000,Subscription Revenue,CC-SAL-EM,Sales,EMEA,Professional Services,Enterprise,,Professional Services,,REV-202304-101085,51286.02,3701.72,,,54227.14,,,-2941.12,,,275,,,,,,,,,,,,NetSuite,2023-04-28,fp&a@novastack.io,
2023-04-01,2023,2023-Q2,4,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6100-78,Payroll & Benefits,CC-DAT-AP,Data Platform,APAC,,,Payroll & Benefits,Payroll & Benefits - Data Platform,,AP-202304-101086,0,0,,779.10,,,782.43,-3.33,16.58,10,5,,,,,,,,,,,,NetSuite,2023-04-28,accounting@novastack.io,
2023-04-01,2023,2023-Q2,4,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6100-27,Payroll & Benefits,CC-CUS-Am,Customer Success,Americas,,,Payroll & Benefits,Payroll & Benefits - Customer Success,HubSpot,AP-202304-101087,0,0,,720.21,,,723.29,-3.08,15.32,12,36,,,,,,,,,,,,NetSuite,2023-04-28,accounting@novastack.io,Vendor: HubSpot
2023-04-01,2023,2023-Q2,4,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6100-74,Payroll & Benefits,CC-CUS-La,Customer Success,LatAm,,,Payroll & Benefits,Payroll & Benefits - Customer Success,,AP-202304-101088,0,0,,1295.66,,,1301.21,-5.55,27.57,6,44,,,,,,,,,,,,NetSuite,2023-04-28,accounting@novastack.io,
2023-04-01,2023,2023-Q2,4,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6100-44,Payroll & Benefits,CC-G&A-AP,G&A,APAC,,,Payroll & Benefits,Payroll & Benefits - G&A,Deloitte,AP-202304-101089,0,0,,1199.24,,,1204.38,-5.14,25.52,4,43,,,,,,,,,,,,NetSuite,2023-04-28,accounting@novastack.io,Vendor: Deloitte
2023-04-01,2023,2023-Q2,4,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6105-87,Contractors,CC-ENG-EM,Engineering,EMEA,,,Contractors,Contractors - Engineering,AWS,AP-202304-101090,0,0,,764.45,,,767.72,-3.27,16.26,,31,,,,,,,,,,,,NetSuite,2023-04-28,accounting@novastack.io,Vendor: AWS
2023-04-01,2023,2023-Q2,4,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6105-81,Contractors,CC-ENG-Am,Engineering,Americas,,,Contractors,Contractors - Engineering,CrowdStrike,AP-202304-101091,0,0,,1028.87,,,1033.28,-4.41,21.89,,45,,,,,,,,,,,,NetSuite,2023-04-28,accounting@novastack.io,Vendor: CrowdStrike
2023-04-01,2023,2023-Q2,4,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6105-20,Contractors,CC-OPE-La,Operations,LatAm,,,Contractors,Contractors - Operations,Intercom,AP-202304-101092,0,0,,1341.50,,,1347.25,-5.75,28.54,,42,,,,,,,,,,,,NetSuite,2023-04-28,accounting@novastack.io,Vendor: Intercom
2023-04-01,2023,2023-Q2,4,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6200-86,Sales Commissions,CC-LEG-Am,Legal,Americas,,,Sales Commissions,Sales Commissions - Legal,Okta,AP-202304-101093,0,0,,286.04,,,287.27,-1.23,6.09,,23,,,,,,,,,,,,NetSuite,2023-04-28,accounting@novastack.io,Vendor: Okta
2023-04-01,2023,2023-Q2,4,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6200-25,Sales Commissions,CC-FIN-EM,Finance,EMEA,,,Sales Commissions,Sales Commissions - Finance,AWS,AP-202304-101094,0,0,,114.19,,,114.68,-0.49,2.43,,30,,,,,,,,,,,,NetSuite,2023-04-28,accounting@novastack.io,Vendor: AWS
2023-04-01,2023,2023-Q2,4,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6200-12,Sales Commissions,CC-G&A-EM,G&A,EMEA,,,Sales Commissions,Sales Commissions - G&A,WeWork,AP-202304-101095,0,0,,3070.19,,,3083.34,-13.15,65.32,,18,,,,,,,,,,,,NetSuite,2023-04-28,accounting@novastack.io,Vendor: WeWork
2023-04-01,2023,2023-Q2,4,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6200-88,Sales Commissions,CC-LEG-AP,Legal,APAC,,,Sales Commissions,Sales Commissions - Legal,,AP-202304-101096,0,0,,2478.09,,,2488.70,-10.61,52.73,,41,,,,,,,,,,,,NetSuite,2023-04-28,accounting@novastack.io,
2023-04-01,2023,2023-Q2,4,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6210-87,Paid Media,CC-G&A-Am,G&A,Americas,,,Paid Media,Paid Media - G&A,,AP-202304-101097,0,0,,1414.97,,,1421.03,-6.06,30.11,,14,,,,,,,,,,,,NetSuite,2023-04-28,accounting@novastack.io,
2023-04-01,2023,2023-Q2,4,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6210-24,Paid Media,CC-ENG-EM,Engineering,EMEA,,,Paid Media,Paid Media - Engineering,Okta,AP-202304-101098,0,0,,387.08,,,388.73,-1.65,8.24,,18,,,,,,,,,,,,NetSuite,2023-04-28,accounting@novastack.io,Vendor: Okta
2023-04-01,2023,2023-Q2,4,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6210-34,Paid Media,CC-SEC-La,Security,LatAm,,,Paid Media,Paid Media - Security,,AP-202304-101099,0,0,,1715.51,,,1722.85,-7.34,36.5,,43,,,,,,,,,,,,NetSuite,2023-04-28,accounting@novastack.io,
2023-04-01,2023,2023-Q2,4,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6215-82,Events & Sponsorships,CC-SAL-Am,Sales,Americas,,,Events & Sponsorships,Events & Sponsorships - Sales,,AP-202304-101100,0,0,,1657.11,,,1664.20,-7.09,35.26,,15,,,,,,,,,,,,NetSuite,2023-04-28,accounting@novastack.io,
2023-04-01,2023,2023-Q2,4,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6215-96,Events & Sponsorships,CC-DAT-AP,Data Platform,APAC,,,Events & Sponsorships,Events & Sponsorships - Data Platform,,AP-202304-101101,0,0,,1998.88,,,2007.44,-8.56,42.53,,2,,,,,,,,,,,,NetSuite,2023-04-28,accounting@novastack.io,
2023-04-01,2023,2023-Q2,4,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6215-10,Events & Sponsorships,CC-OPE-AP,Operations,APAC,,,Events & Sponsorships,Events & Sponsorships - Operations,Deloitte,AP-202304-101102,0,0,,1655.45,,,1662.54,-7.09,35.22,,28,,,,,,,,,,,,NetSuite,2023-04-28,accounting@novastack.io,Vendor: Deloitte
2023-04-01,2023,2023-Q2,4,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6215-65,Events & Sponsorships,CC-LEG-Am,Legal,Americas,,,Events & Sponsorships,Events & Sponsorships - Legal,Datadog,AP-202304-101103,0,0,,191.46,,,192.28,-0.82,4.07,,27,,,,,,,,,,,,NetSuite,2023-04-28,accounting@novastack.io,Vendor: Datadog
2023-04-01,2023,2023-Q2,4,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6300-16,Software Subscriptions,CC-DAT-Am,Data Platform,Americas,,,Software Subscriptions,Software Subscriptions - Data Platform,WeWork,AP-202304-101104,0,0,,107.26,,,107.72,-0.46,2.28,,18,,,,,,,,,,,,NetSuite,2023-04-28,accounting@novastack.io,Vendor: WeWork
2023-04-01,2023,2023-Q2,4,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6300-60,Software Subscriptions,CC-FIN-La,Finance,LatAm,,,Software Subscriptions,Software Subscriptions - Finance,,AP-202304-101105,0,0,,456.73,,,458.69,-1.96,9.72,,13,,,,,,,,,,,,NetSuite,2023-04-28,accounting@novastack.io,
2023-04-01,2023,2023-Q2,4,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6300-38,Software Subscriptions,CC-G&A-Am,G&A,Americas,,,Software Subscriptions,Software Subscriptions - G&A,AWS,AP-202304-101106,0,0,,436.71,,,438.58,-1.87,9.29,,45,,,,,,,,,,,,NetSuite,2023-04-28,accounting@novastack.io,Vendor: AWS
2023-04-01,2023,2023-Q2,4,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6310-90,Cloud Hosting,CC-G&A-AP,G&A,APAC,,,Cloud Hosting,Cloud Hosting - G&A,,AP-202304-101107,0,0,,1756.27,,,1763.79,-7.52,37.37,,7,,,,,,,,,,,,NetSuite,2023-04-28,accounting@novastack.io,
2023-04-01,2023,2023-Q2,4,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6310-85,Cloud Hosting,CC-ENG-La,Engineering,LatAm,,,Cloud Hosting,Cloud Hosting - Engineering,AWS,AP-202304-101108,0,0,,1681.49,,,1688.69,-7.20,35.78,,41,,,,,,,,,,,,NetSuite,2023-04-28,accounting@novastack.io,Vendor: AWS
2023-04-01,2023,2023-Q2,4,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6310-70,Cloud Hosting,CC-G&A-AP,G&A,APAC,,,Cloud Hosting,Cloud Hosting - G&A,,AP-202304-101109,0,0,,361.01,,,362.56,-1.55,7.68,,16,,,,,,,,,,,,NetSuite,2023-04-28,accounting@novastack.io,
2023-04-01,2023,2023-Q2,4,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6315-66,Customer Support Tools,CC-MAR-Am,Marketing,Americas,,,Customer Support Tools,Customer Support Tools - Marketing,Notion,AP-202304-101110,0,0,,452.75,,,454.69,-1.94,9.63,,7,,,,,,,,,,,,NetSuite,2023-04-28,accounting@novastack.io,Vendor: Notion
2023-04-01,2023,2023-Q2,4,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6315-17,Customer Support Tools,CC-LEG-La,Legal,LatAm,,,Customer Support Tools,Customer Support Tools - Legal,Salesforce,AP-202304-101111,0,0,,446.83,,,448.75,-1.92,9.51,,3,,,,,,,,,,,,NetSuite,2023-04-28,accounting@novastack.io,Vendor: Salesforce
2023-04-01,2023,2023-Q2,4,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6315-26,Customer Support Tools,CC-FIN-AP,Finance,APAC,,,Customer Support Tools,Customer Support Tools - Finance,Salesforce,AP-202304-101112,0,0,,282.62,,,283.83,-1.21,6.01,,4,,,,,,,,,,,,NetSuite,2023-04-28,accounting@novastack.io,Vendor: Salesforce
2023-04-01,2023,2023-Q2,4,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6400-58,R&D Contractors,CC-PRO-Am,Product,Americas,,,R&D Contractors,R&D Contractors - Product,Atlassian,AP-202304-101113,0,0,,86.04,,,86.41,-0.37,1.83,,26,,,,,,,,,,,,NetSuite,2023-04-28,accounting@novastack.io,Vendor: Atlassian
2023-04-01,2023,2023-Q2,4,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6400-86,R&D Contractors,CC-PRO-La,Product,LatAm,,,R&D Contractors,R&D Contractors - Product,,AP-202304-101114,0,0,,959.07,,,963.18,-4.11,20.41,,43,,,,,,,,,,,,NetSuite,2023-04-28,accounting@novastack.io,
2023-04-01,2023,2023-Q2,4,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6400-64,R&D Contractors,CC-SEC-Am,Security,Americas,,,R&D Contractors,R&D Contractors - Security,Deloitte,AP-202304-101115,0,0,,678.14,,,681.04,-2.90,14.43,,40,,,,,,,,,,,,NetSuite,2023-04-28,accounting@novastack.io,Vendor: Deloitte
2023-04-01,2023,2023-Q2,4,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6500-23,Legal & Compliance,CC-DAT-AP,Data Platform,APAC,,,Legal & Compliance,Legal & Compliance - Data Platform,HubSpot,AP-202304-101116,0,0,,466.42,,,468.42,-2.00,9.92,,1,,,,,,,,,,,,NetSuite,2023-04-28,accounting@novastack.io,Vendor: HubSpot
2023-04-01,2023,2023-Q2,4,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6500-83,Legal & Compliance,CC-SEC-Am,Security,Americas,,,Legal & Compliance,Legal & Compliance - Security,Rippling,AP-202304-101117,0,0,,2997.72,,,3010.56,-12.84,63.78,,9,,,,,,,,,,,,NetSuite,2023-04-28,accounting@novastack.io,Vendor: Rippling
2023-04-01,2023,2023-Q2,4,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6500-89,Legal & Compliance,CC-LEG-AP,Legal,APAC,,,Legal & Compliance,Legal & Compliance - Legal,Stripe,AP-202304-101118,0,0,,3112.18,,,3125.51,-13.33,66.22,,29,,,,,,,,,,,,NetSuite,2023-04-28,accounting@novastack.io,Vendor: Stripe
2023-04-01,2023,2023-Q2,4,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6500-15,Legal & Compliance,CC-SAL-EM,Sales,EMEA,,,Legal & Compliance,Legal & Compliance - Sales,,AP-202304-101119,0,0,,119.61,,,120.12,-0.51,2.54,,4,,,,,,,,,,,,NetSuite,2023-04-28,accounting@novastack.io,
2023-04-01,2023,2023-Q2,4,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6510-79,Accounting & Audit,CC-LEG-AP,Legal,APAC,,,Accounting & Audit,Accounting & Audit - Legal,,AP-202304-101120,0,0,,2817.40,,,2829.46,-12.06,59.94,,10,,,,,,,,,,,,NetSuite,2023-04-28,accounting@novastack.io,
